Iteration,Angle,Angle_Velocity,Angle_Accel,Distance,Velocity,Force,Nc
134,-133.898,139.156,,11.084,6.228,001,
135,-131.115,137.570,,11.209,6.405,001,
136,-128.364,134.852,,11.337,6.581,001,
137,-125.667,131.031,,11.468,6.757,001,
138,-123.046,126.151,,11.603,6.933,001,
139,-120.523,120.259,,11.742,7.108,001,
140,-118.118,113.414,,11.884,7.284,001,
141,-115.850,105.677,,12.030,7.460,001,
142,-113.736,97.115,,12.179,7.636,001,
143,-111.794,87.800,,12.332,7.812,001,
144,-110.038,77.803,,12.488,7.989,001,
145,-108.482,67.201,,12.648,8.166,001,
146,-107.138,56.070,,12.811,8.344,001,
147,-106.016,44.488,,12.978,8.523,001,
148,-105.127,32.533,,13.148,8.701,001,
149,-104.476,20.287,,13.322,8.880,001,
150,-104.070,7.827,,13.500,9.060,001,
151,-103.914,-12.393,,13.681,8.874,000,
152,-104.162,-32.582,,13.859,8.688,000,
153,-104.813,-52.827,,14.033,8.502,000,
154,-105.870,-73.214,,14.203,8.315,000,
155,-107.334,-93.829,,14.369,8.128,000,
156,-109.211,-114.750,,14.531,7.939,000,
157,-111.506,-136.054,,14.690,7.748,000,
158,-114.227,-157.804,,14.845,7.555,000,
159,-117.383,-180.055,,14.996,7.359,000,
160,-120.984,-202.843,,15.143,7.161,000,
161,-125.041,-226.183,,15.287,6.960,000,
162,-129.564,-250.055,,15.426,6.756,000,
163,-134.566,-274.398,,15.561,6.548,000,
164,-140.054,-299.089,,15.692,6.338,000,
165,-146.035,-323.928,,15.819,6.125,000,
166,-152.514,-348.614,,15.941,5.911,000,
167,-159.486,-372.729,,16.059,5.697,000,
168,-166.941,-395.728,,16.173,5.484,000,
169,-174.855,-416.950,,16.283,5.276,000,
170,-183.194,-435.658,,16.389,5.075,000,
171,-191.907,-451.121,,16.490,4.884,000,
172,-200.930,-462.715,,16.588,4.705,000,
173,-210.184,-470.027,,16.682,4.539,000,
174,-219.585,-472.928,,16.773,4.386,000,
175,-229.043,-471.567,,16.860,4.244,000,
176,-238.475,-466.315,,16.945,4.112,000,
177,-247.801,-457.658,,17.027,3.985,000,
178,-256.954,-446.110,,17.107,3.860,000,
179,-265.876,-432.137,,17.184,3.735,000,
180,-274.519,-416.135,,17.259,3.605,000,
181,-282.842,-398.427,,17.331,3.470,000,
182,-290.810,-379.285,,17.401,3.328,000,
183,-298.396,-358.949,,17.467,3.177,000,
184,-305.575,-337.654,,17.531,3.019,000,
